sampid,famid,ssex,Plate,Tray,area_wk3,perim_wk3,circ_wk3,Days_gam,Total_gam
P_22_12_3,31,m,31B,Tray 9,0.635970093,3.563126387,0.629164019,22,5
P_22_12_3,31,m,31C,Tray 9,0.415445687,4.168830295,0.300244777,22,14
P_22_6_21,32,f,10C,Tray 1,0.590935012,3.554920293,0.587313016,22,1
P_22_6_4,32,f,3A,Tray 1,1.692457636,6.812874151,0.457980211,22,6
P_22_6_1,32,f,1A,Tray 10,0.908813737,5.12813614,0.434055666,22,18
P_22_6_21,32,f,10B,Tray 11,0.610624853,3.633281765,0.580986388,22,0
P_22_6_21,32,f,10A,Tray 14,0.264102657,2.952041434,0.380642706,22,0
P_22_6_4,32,f,3B,Tray 2,1.191162977,7.363287819,0.27594166,22,1
P_22_6_4,32,f,3C,Tray 3,1.067011111,8.630860295,0.179907972,22,5
P_22_6_5,32,f,6B,Tray 3,0.556459693,3.361740768,0.618436209,22,0
P_22_6_5,32,f,6C,Tray 4,0.733410374,3.983251497,0.580578878,22,0
P_22_6_1,32,f,1B,Tray 5,0.558319189,4.396515773,0.362789678,22,18
P_22_6_5,32,f,6A,Tray 8,0.760271262,3.839241273,0.647839468,7,1
P_22_6_1,32,f,1C,Tray 9,0.730284069,5.359991928,0.319266385,22,18
P_22_6_3,32,m,22A,Tray 12,0.838143858,4.649693953,0.486922082,22,0
P_22_6_2,32,m,5C,Tray 12,1.021573365,4.869307863,0.54115881,22,4
P_22_6_3,32,m,22B,Tray 2,0.547478918,3.419654268,0.588020732,22,1
P_22_6_2,32,m,5B,Tray 2,1.055161917,5.760408959,0.399394531,22,1
P_22_6_3,32,m,22C,Tray 8,0.842509827,5.739019304,0.321284107,22,0
P_22_6_13,32,m,4A,Tray 8,0.803949047,4.363893186,0.530236891,22,0
P_22_6_13,32,m,4B,Tray 8,0.902588273,4.916862851,0.46892473,22,0
P_22_6_13,32,m,4C,Tray 8,0.658446915,3.548732091,0.656695407,22,3
P_22_6_2,32,m,5A,Tray 8,0.848445735,4.841057375,0.454708686,7,6
P_24_5_8,33,f,15B,Tray 1,0.950220314,4.784085559,0.521454085,22,11
P_24_5_16,33,f,14C,Tray 12,0.49350378,3.450595278,0.52058551,22,7
P_24_5_16,33,f,14B,Tray 2,0.574692703,3.799017959,0.500129681,22,8
P_24_5_8,33,f,15A,Tray 2,0.935756063,4.987690859,0.47244715,22,12
P_24_5_8,33,f,15C,Tray 3,0.828900672,5.004237573,0.415734717,22,7
P_24_5_16,33,f,20A,Tray 4,0.678951134,8.699334096,0.112682413,22,15
P_24_5_16,33,f,20B,Tray 4,0.517405763,4.248671554,0.360010015,22,5
